time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-8.8288151012e-07,2.2528618324e-06,10.0049294438,0.00127620467811,0.00061998920645,0.0,-7.00757569985e-05,0.000166022795219,0.164304604588,0.0460993381108,0.0255568370736,0.0,456.02020062392216,458.05667958984554,454.8140837177265,458.4907702769643
0.12000000000000001,-2.90438410879e-05,5.83037611701e-05,10.0227945134,0.00420494505011,0.00265156577391,0.0,-0.001099176977,0.00206366171222,0.431133841926,0.0537489902788,0.0467274772649,0.0,486.5305140026255,488.1130576510171,486.430875565237,487.0045269196378
0.18,-0.000154191026294,0.000271890429567,10.0496985336,0.00742305977812,0.00519351482506,0.0,-0.00332080365503,0.00535320793915,0.465650639946,0.0534068694772,0.0317845801802,0.0,415.4327974978898,414.1217728657487,416.8610685464157,416.8332861324913
0.23999999999999996,-0.000474900546001,0.000768511570699,10.081862755,0.0106293118193,0.00718596432189,0.0,-0.00757997881046,0.011546617344,0.606421155895,0.0534987694945,0.0359108715937,0.0,449.66760895296215,450.00211442904964,449.9825667793243,449.9918487170732
0.3,-0.00110696127169,0.00172424705449,10.1239404269,0.0144279091229,0.00947283872241,0.0,-0.0137442533935,0.0207196243348,0.796047760097,0.0779448348833,0.0421921684698,0.0,464.90965794134104,465.40210836368,463.6805937779463,465.5994239923266
0.36000000000000004,-0.00214803400667,0.00329948149644,10.1757601553,0.0187881490852,0.0124169282737,0.0,-0.0212535893245,0.0322741042014,0.931164686781,0.0592015772862,0.0601336443333,0.0,448.52604924058096,449.9820172812405,448.71951045834595,447.1995100848266
0.4200000000000001,-0.00368550311122,0.00562591956586,10.2340037962,0.0227202274602,0.0155952007453,0.0,-0.0303366476135,0.0456447633933,1.01021058219,0.0758778593323,0.0321076238383,0.0,433.0543011074472,430.6925009703542,429.72970882857567,431.14406339762854
0.48000000000000015,-0.00583486315674,0.00885062858599,10.2975859554,0.0270396183121,0.0174998869705,0.0,-0.0415024123398,0.0622964009977,1.10908881199,0.062791482584,0.0310091485363,0.0,438.68724040083856,438.5964067095778,437.2591457415221,436.17177900884263
0.5400000000000001,-0.00877413438854,0.0132874920194,10.3716345236,0.0314611893283,0.0190853728437,0.0,-0.0566852988411,0.0861072558996,1.35891392471,0.0895286407165,0.0151655518506,0.0,484.19670291965434,483.00352062903903,482.3229274369877,484.3413250821447
0.6000000000000002,-0.0125999328203,0.0191687302978,10.4575297636,0.036853923676,0.0194641089422,0.0,-0.0709222924659,0.110512782741,1.5040580338,0.0905699095383,-0.0245191428554,0.0,454.75851478408947,451.56883341485536,452.7689319418354,452.8592795981623
0.6600000000000003,-0.0172457871438,0.0265687269674,10.5504292565,0.0420809910456,0.0182385970454,0.0,-0.0838031783521,0.136684579692,1.592452248,0.0791277278188,-0.0132889835844,0.0,435.7273066510714,436.66505078171895,435.5975035986602,434.6460985927369
0.7200000000000003,-0.0226756457611,0.0357229385715,10.6504962662,0.0464370969219,0.0172277442503,0.0,-0.0970906399328,0.168949632157,1.74287422517,0.0545072851389,-0.0251332569787,0.0,454.7451039038078,453.7954930755168,457.39786959294355,455.43682839047364
0.7800000000000004,-0.0288849618475,0.0469228547744,10.7599974116,0.0496640497181,0.0160571482394,0.0,-0.109735093677,0.204729969185,1.90688641207,0.052292770188,-0.0101379594085,0.0,458.7421126697918,459.9312199338598,460.72447019530523,460.5511631562675
0.8400000000000004,-0.0358245144415,0.0603241825189,10.8789812201,0.0530291107615,0.0156988297114,0.0,-0.121527522041,0.242324163437,2.05895712538,0.0627529137381,0.0012748462057,0.0,456.2413242907261,457.151664111913,456.78864583601995,457.62399989089914
0.9000000000000005,-0.0434833442033,0.0761144234905,11.0081350201,0.056671204716,0.0162096378154,0.0,-0.133798670644,0.284422470165,2.24579150816,0.0562482021099,0.0200526815357,0.0,466.80380632017284,468.2666614173834,468.7813146785284,468.278024775634
0.9600000000000005,-0.0518730472562,0.0944323166274,11.1470762177,0.0602582499122,0.018464111632,0.0,-0.146054319327,0.326531738389,2.38526856334,0.0660520419867,0.0595877903329,0.0,452.6370575773121,455.80801514986285,454.4016187973119,455.1892352743884
1.0200000000000005,-0.0610620794582,0.115370730614,11.2946068464,0.0642492872584,0.0233862933167,0.0,-0.160725109009,0.371826170086,2.53205920739,0.0674314682838,0.107658397515,0.0,456.1089748354672,459.93642813331746,456.76148163900797,456.8746371212037
